Streaming output truncated to the last 5000 lines.
Iteration 1: Best Cost = 1593.0, Tabu Size = 1
Iteration 2: Best Cost = 1485.0, Tabu Size = 2
Iteration 3: Best Cost = 1399.0, Tabu Size = 3
Iteration 4: Best Cost = 1314.0, Tabu Size = 4
Iteration 5: Best Cost = 1233.0, Tabu Size = 5
Iteration 6: Best Cost = 1160.0, Tabu Size = 6
Iteration 7: Best Cost = 1101.0, Tabu Size = 7
Iteration 8: Best Cost = 1034.0, Tabu Size = 8
Iteration 9: Best Cost = 984.0, Tabu Size = 9
Iteration 10: Best Cost = 942.0, Tabu Size = 10
Iteration 11: Best Cost = 880.0, Tabu Size = 11
Iteration 12: Best Cost = 857.0, Tabu Size = 12
Iteration 13: Best Cost = 836.0, Tabu Size = 13
Iteration 14: Best Cost = 818.0, Tabu Size = 14
Iteration 15: Best Cost = 799.0, Tabu Size = 15
Iteration 16: Best Cost = 786.0, Tabu Size = 16
Iteration 17: Best Cost = 774.0, Tabu Size = 17
Iteration 18: Best Cost = 763.0, Tabu Size = 18
Iteration 19: Best Cost = 741.0, Tabu Size = 19
Iteration 20: Best Cost = 730.0, Tabu Size = 20
Iteration 21: Best Cost = 719.0, Tabu Size = 21
Iteration 22: Best Cost = 709.0, Tabu Size = 22
Iteration 23: Best Cost = 696.0, Tabu Size = 23
Iteration 24: Best Cost = 687.0, Tabu Size = 24
Iteration 25: Best Cost = 679.0, Tabu Size = 25
Iteration 26: Best Cost = 672.0, Tabu Size = 26
Iteration 27: Best Cost = 662.0, Tabu Size = 27
Iteration 28: Best Cost = 655.0, Tabu Size = 28
Iteration 29: Best Cost = 648.0, Tabu Size = 29
Iteration 30: Best Cost = 641.0, Tabu Size = 30
Iteration 31: Best Cost = 634.0, Tabu Size = 31
Iteration 32: Best Cost = 629.0, Tabu Size = 32
Iteration 33: Best Cost = 625.0, Tabu Size = 33
Iteration 34: Best Cost = 621.0, Tabu Size = 34
Iteration 35: Best Cost = 617.0, Tabu Size = 35
